search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
NFL highlights,/watch?v=XUfvXIgfgYI&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Minnesota Vikings vs Dallas Cowboys Game Highlights | 2025 NFL Season Week 15,1.8M,1 month,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.890763
NFL highlights,/shorts/4et-AWYi1W8,/@CutDayMedia,Cut Day Media,Lamar Jackson's Most Ridiculous Play in His Career,901K,9 months,This is why Lamar Jackson is one of the most electric players in the NFL. Pure chaos. Pure brilliance. #lamarjackson #nflhighlights ...,2026-01-22 05:23:17.891894
NFL highlights,/watch?v=BNfTwEuxqms&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Denver Broncos vs Kansas City Chiefs Christmas Day Game Highlights | 2025 NFL Season Week 17,2.2M,3 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.893394
NFL highlights,/shorts/DHYeUSJVVaw,/@Zoofuh,Zoofuh,Last highlight was sus🤣 #nfl #football #nflfootball #fantasyfootball #nflhighlights,627K,4 days,Watching Christian McCaffrey highlights until I'm impressed here we go he's gonna throw it he's a running back though okay that ...,2026-01-22 05:23:17.894541
NFL highlights,/watch?v=spsOKxiK97Y&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Dallas Cowboys vs Washington Commanders Christmas Day Game Highlights | 2025 NFL Season Week 17,1.4M,3 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.895938
NFL highlights,/shorts/BPRG_tqYFj0,/@NFLonFOX,NFL on FOX,Aaron Rodgers was NOT having it 👀 #NFL #football #jets,1.5M,1 year,"NFLonFox #NFL #AaronRodgers As we get closer to kickoff, be sure to download the FOX Sports App to stream NFL games all ...",2026-01-22 05:23:17.897637
NFL highlights,/watch?v=o1qvOaD1fdY&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Detroit Lions vs Chicago Bears Game Highlights | 2025 NFL Season Week 18,1.2M,2 weeks,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.898993
NFL highlights,/shorts/G056kLuTT78,/@ACCDigitalNetwork,ACC Digital Network,The QB gave perfect direction 👏 #louisville #accfootball #collegefootball #football #highlights,329K,4 months,"SUBSCRIBE: http://bit.ly/Oqg3iE The ACC Digital Network (theACCDN) is a project of Raycom Sports, a long-time television ...",2026-01-22 05:23:17.900081
NFL highlights,/watch?v=Np56aguXdrA&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Carolina Panthers vs Tampa Bay Buccaneers Game Highlights | 2025 NFL Season Week 18,1.1M,2 weeks,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:23:17.901615
NFL highlights,/shorts/YUghmFlN3KU,/@PeightonTubre,Peighton Tubre,Buccaneers vs Saints Highlights #nfl #shorts,8.3M,2 months,,2026-01-22 05:23:17.902740
NFL highlights,/watch?v=C2bl9_EHKmM&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Tennessee Titans vs. Cleveland Browns Game Highlights | NFL 2025 Season Week 14,1.7M,1 month,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.904044
NFL highlights,/shorts/zja8lrfG4uc,/@5starross,Fivestarross,Big boys making big plays!🍔 #nflshorts #football #footballshorts #fantasyfootball #joeburrow,15M,4 months,,2026-01-22 05:23:17.905039
NFL highlights,/watch?v=W5AG56GJKB0&pp=ygUOTkZMIGhpZ2hsaWdodHPSBwkJhwoBhyohjO8%3D,/@NFL,NFL,Miami Dolphins vs Pittsburgh Steelers Game Highlights | 2025 NFL Season Week 15,1.8M,1 month,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 05:23:17.906360
NFL highlights,/watch?v=TewRAbvTY3k&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@anhbabao84,BÁNH MÌ TV,Bills Vs. Jaguars | Super Wild Card | 3rd - 4th Qtr Full Highlights | NFL Playoffs 2026,25K,10 days,NFLHIGHLIGHTSTODAY #NFLTODAY Bills Vs. Jaguars | Super Wild Card | 3rd - 4th Qtr Full Highlights | NFL Playoffs 2026.,2026-01-22 05:23:17.907681
NFL highlights,/watch?v=MWxNQm6JLDo&pp=ygUOTkZMIGhpZ2hsaWdodHM%3D,/@NFL,NFL,Dallas Cowboys vs New York Giants Game Highlights | 2025 NFL Season Week 18,1.1M,2 weeks,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 05:23:17.909108
NFL highlights,/shorts/DJ7p7UUf0kk,/@dimes.,Dimes,FULL Stripes or NO Stripes? 💯🎯 #qb #nfl #cfl,2.1M,9 months,Don't forget to subscribe and check out the rest of my videos for more qb tips Visit my Website below for 1 on 1 coaching AND ...,2026-01-22 05:23:17.910413
